,osid_scrambled,site,tid_scrambled,neighbor1_scrambled,shelf,path,lim,crsin,crsout,member_list,neighbor1_final,neighbor1_lim,neighbor2_final,pathindex,date
1161,dc0-af468-ba,306,25b-09573-de,25b-09573-de,4,144,LIM-4-2,ADJ-4-2-8,ADJ-4-2-5,CMD44-4-83;LIM-4-2-8;DSCM-4-91-1;LIM-4-2;OSC-4-1-1;WSSOPM-4-3;DSCM-4-91;CMD44-4-84,306-25b-09573-de-4-1,LIM-4-14,-,2.0,2020/03/10
1162,e73-74706-d0,306,25b-09573-de,085-61f62-64,2,108,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,316-085-61f62-64-2-105,LIM-2-2,-,2.0,2020/03/10
1163,e73-74706-d0,306,25b-09573-de,25b-09573-de,2,108,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,306-25b-09573-de-4-1,LIM-4-14,-,2.0,2020/03/10
1164,8a8-b5205-1c,635,e8a-3aeb7-f9,b07-24b05-fb,1,2,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;DSCM-1-91-2;LIM-1-2-5;LIM-1-2;OSC-1-1-1;DSCM-1-91,384-b07-24b05-fb-2-1,LIM-2-14,-,2.0,2020/03/10
1165,ae5-4eb92-99,317,940-0c670-8e,e5c-f2522-a0,3,100,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;LIM-3-2-5;LIM-3-2;OSC-3-1-1;WSSOPM-3-3,314-e5c-f2522-a0-2-97,LIM-2-2,-,2.0,2020/03/10
1166,ae5-4eb92-99,317,940-0c670-8e,940-0c670-8e,3,100,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;LIM-3-2-5;LIM-3-2;OSC-3-1-1;WSSOPM-3-3,317-940-0c670-8e-1-144,LIM-1-2,-,2.0,2020/03/10
1167,e0b-39da1-ec,317,940-0c670-8e,9a5-9df60-45,1,144,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91,302-9a5-9df60-45-1-141,LIM-1-2,-,2.0,2020/03/10
1168,e0b-39da1-ec,317,940-0c670-8e,940-0c670-8e,1,144,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91,317-940-0c670-8e-3-100,LIM-3-2,-,2.0,2020/03/10
1169,f50-9b402-a6,317,940-0c670-8e,81c-9432f-3c,2,141,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,321-81c-9432f-3c-2-144,LIM-2-2,-,1.0,2020/03/10
1170,f50-9b402-a6,317,940-0c670-8e,940-0c670-8e,2,141,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,317-940-0c670-8e-3-100,LIM-3-2,-,1.0,2020/03/10
