,osid_scrambled,site,tid_scrambled,neighbor1_scrambled,shelf,path,lim,crsin,crsout,member_list,neighbor1_final,neighbor1_lim,neighbor2_final,pathindex,date
0,ae9-cb87a-32,483,31b-f3f98-8f,d7f-dcb14-bf,1,146,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1,479-d7f-dcb14-bf-2-145,LIM-2-2,476-169-7cf29-90-1-148,3,2020-02-12
1,1fb-84d43-4c,503,011-40a0f-05,cb3-15811-c3,2,2,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;CMD44-2-84,47-cb3-15811-c3-1-1,LIM-1-1,-,4,2020-02-12
2,1fb-84d43-4c,503,011-40a0f-05,011-40a0f-05,2,2,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;CMD44-2-84,503-011-40a0f-05-3-105,LIM-3-2,-,4,2020-02-12
3,028-d575c-fe,503,011-40a0f-05,f13-6a3fc-fd,3,105,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;DSCM-3-91-1;LIM-3-2;OSC-3-1-1;WSSOPM-3-3;DSCM-3-91,46-f13-6a3fc-fd-2-2,LIM-2-2,-,1,2020-02-12
4,028-d575c-fe,503,011-40a0f-05,011-40a0f-05,3,105,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;DSCM-3-91-1;LIM-3-2;OSC-3-1-1;WSSOPM-3-3;DSCM-3-91,503-011-40a0f-05-2-2,LIM-2-2,-,1,2020-02-12
5,4a1-af60a-41,503,011-40a0f-05,e2a-6c8dc-56,1,8,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91;CMD44-1-84,45-e2a-6c8dc-56-3-5,LIM-3-2,-,2,2020-02-12
6,4a1-af60a-41,503,011-40a0f-05,011-40a0f-05,1,8,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91;CMD44-1-84,503-011-40a0f-05-2-2,LIM-2-2,-,2,2020-02-12
7,834-14bd9-87,45,e2a-6c8dc-56,9b9-3961c-17,1,1,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD8-1-9;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-4-1;WSS-1-3;CMD44-1-14;CMDA-1-5;CMD44-1-15,44-9b9-3961c-17-1-1,LIM-1-1,-,1,2020-02-12
8,834-14bd9-87,45,e2a-6c8dc-56,e2a-6c8dc-56,1,1,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD8-1-9;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-4-1;WSS-1-3;CMD44-1-14;CMDA-1-5;CMD44-1-15,45-e2a-6c8dc-56-2-2,LIM-2-2,-,1,2020-02-12
9,1ac-f7c62-9b,45,e2a-6c8dc-56,f13-6a3fc-fd,2,2,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD8-2-9;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-4-1;WSS-2-3;CMD44-2-14;CMDA-2-11;CMD44-2-15,46-f13-6a3fc-fd-1-1,LIM-1-2,-,2,2020-02-12
10,1ac-f7c62-9b,45,e2a-6c8dc-56,e2a-6c8dc-56,2,2,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD8-2-9;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-4-1;WSS-2-3;CMD44-2-14;CMDA-2-11;CMD44-2-15,45-e2a-6c8dc-56-1-1,LIM-1-2,-,2,2020-02-12
11,4a1-af60a-41,45,e2a-6c8dc-56,011-40a0f-05,3,5,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-14;LIM-3-2-8;DSCM-3-20-1;LIM-3-2;OSC-3-4-1;WSS-3-3;DSCM-3-20;CMDA-3-5,503-011-40a0f-05-1-8,LIM-1-2,-,1,2020-02-12
12,4a1-af60a-41,45,e2a-6c8dc-56,e2a-6c8dc-56,3,5,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-14;LIM-3-2-8;DSCM-3-20-1;LIM-3-2;OSC-3-4-1;WSS-3-3;DSCM-3-20;CMDA-3-5,45-e2a-6c8dc-56-1-1,LIM-1-2,-,1,2020-02-12
13,1ac-f7c62-9b,46,f13-6a3fc-fd,e2a-6c8dc-56,1,1,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD8-1-9;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-4-1;WSS-1-3;CMD44-1-14;CMDA-1-5;CMD44-1-15,45-e2a-6c8dc-56-2-2,LIM-2-2,-,1,2020-02-12
14,1ac-f7c62-9b,46,f13-6a3fc-fd,f13-6a3fc-fd,1,1,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD8-1-9;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-4-1;WSS-1-3;CMD44-1-14;CMDA-1-5;CMD44-1-15,46-f13-6a3fc-fd-2-2,LIM-2-2,-,1,2020-02-12
15,028-d575c-fe,46,f13-6a3fc-fd,011-40a0f-05,2,2,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,LIM-2-2-8;DSCM-2-30-1;LIM-2-2;OSC-2-4-1;WSS-2-3;DSCM-2-30;CMD44-2-14;CMDA-2-5;CMD44-2-15,503-011-40a0f-05-3-105,LIM-3-2,-,2,2020-02-12
16,028-d575c-fe,46,f13-6a3fc-fd,f13-6a3fc-fd,2,2,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,LIM-2-2-8;DSCM-2-30-1;LIM-2-2;OSC-2-4-1;WSS-2-3;DSCM-2-30;CMD44-2-14;CMDA-2-5;CMD44-2-15,46-f13-6a3fc-fd-1-1,LIM-1-2,-,2,2020-02-12
17,0e5-4d599-a6,319,10d-9c2b3-22,774-fdc06-4f,1,37,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91;CMD44-1-84,313-774-fdc06-4f-4-40,LIM-4-2,-,1,2020-02-12
18,0e5-4d599-a6,319,10d-9c2b3-22,10d-9c2b3-22,1,37,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91;CMD44-1-84,319-10d-9c2b3-22-2-40,LIM-2-2,-,1,2020-02-12
19,c4c-9c6d2-b3,319,10d-9c2b3-22,245-b413e-e8,2,40,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,307-245-b413e-e8-3-37,LIM-3-2,-,2,2020-02-12
20,c4c-9c6d2-b3,319,10d-9c2b3-22,10d-9c2b3-22,2,40,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,319-10d-9c2b3-22-1-37,LIM-1-2,-,2,2020-02-12
