,0,1
90,184-5d5a0-0d_4_2_8,71a-12f85-c9_1_2_6
91,245-b413e-e8_1_2_8,5e6-e1336-79_2_2_6
92,4b5-44f1a-c3_3_2_6,e6f-ad7ac-af_2_2_8
93,61d-73476-c0_2_2_8,cca-70247-1e_3_2_6
94,61d-73476-c0_2_2_8,61d-73476-c0_2_4_8
95,81d-202f0-80_1_2_8,912-f5cac-6b_2_2_6
96,957-450d2-14_1_2_8,957-450d2-14_1_5_5
97,c2a-1288a-31_2_2_6,ded-e9edd-b0_1_2_8
98,2fe-e1ab1-fe_2_2_8,f3d-d885d-62_1_2_6
99,2fe-e1ab1-fe_2_2_8,f3d-d885d-62_2_2_8
100,2fe-e1ab1-fe_2_2_8,3c3-46236-92_1_2_8
101,3c3-46236-92_2_2_6,f3d-d885d-62_2_2_8
102,10c-1dc10-c8_2_2_6,2c8-8c181-c8_1_2_8
103,277-45405-4c_2_2_8,71a-12f85-c9_4_2_6
104,2c8-8c181-c8_1_2_8,ecc-d3fcd-01_2_2_8
105,37e-a987a-1c_1_2_8,796-7c246-6f_2_12_6
106,723-92c7a-da_2_2_8,955-ccaa3-2b_1_2_6
107,1ca-b6d8a-ac_2_14_6,fa7-adcbd-2b_1_2_8
108,4de-d5576-20_5_2_8,dc0-20330-8c_1_2_6
109,deb-df1de-dd_1_2_6,e99-36395-44_1_2_8
110,6a3-0753e-4e_3_2_8,b07-24b05-fb_1_2_6
111,255-a3cbf-4f_1_2_8,255-a3cbf-4f_1_5_5
112,5f2-0a2bc-d2_1_2_6,ab1-3cc1f-2b_1_2_8
113,912-f5cac-6b_1_2_6,e99-36395-44_2_2_8
114,cf6-0c371-24_1_2_6,ded-e9edd-b0_2_2_8
115,deb-df1de-dd_1_2_8,e99-36395-44_1_2_6
116,375-d9a88-08_3_2_6,37b-99706-aa_1_2_8
117,375-d9a88-08_3_2_6,37b-99706-aa_1_4_8
118,37b-99706-aa_1_2_8,37b-99706-aa_1_4_8
119,185-74317-66_1_2_8,570-58dd2-15_1_14_6
120,34f-126a2-af_2_2_8,81d-202f0-80_2_2_6
121,34f-126a2-af_2_12_6,9f6-6cfd7-ef_1_2_8
122,b00-62bc0-59_2_2_6,fe0-9215d-26_2_2_8
